"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"FOXA1_HUMAN.H11MO.0.A","FOXA1_HUMAN.H11MO.0.A",1529,8178,34.4757609921082,25.0820426314982,1.37451967124931,1.43634914327527e-51,"FOXA1",5.75976006453385e-49
"FOXA2_HUMAN.H11MO.0.A","FOXA2_HUMAN.H11MO.0.A",1419,7574,31.9954904171364,23.229566017482,1.37736066154044,2.60735477309642e-47,"FOXA2",5.22774632005832e-45
"FOXA3_HUMAN.H11MO.0.B","FOXA3_HUMAN.H11MO.0.B",1324,7052,29.8534385569335,21.6285845729183,1.38027703367671,7.87738021078095e-44,"FOXA3",1.05294315484105e-41
"FOXC1_HUMAN.H11MO.0.C","FOXC1_HUMAN.H11MO.0.C",1191,6380,26.8545659526494,19.5675509891121,1.37240301392811,2.79612656608096e-37,"FOXC1",2.80311688249616e-35
"FOXM1_HUMAN.H11MO.0.A","FOXM1_HUMAN.H11MO.0.A",1599,9195,36.054114994363,28.201196135562,1.27846048873432,1.01022049910495e-34,"FOXM1",8.10196840282167e-33
"IRF7_HUMAN.H11MO.0.C","IRF7_HUMAN.H11MO.0.C",1474,8894,33.2356257046223,27.2780248428155,1.2184029414203,2.59148678002905e-21,"IRF7",1.73197699798608e-19
"FOXK1_HUMAN.H11MO.0.A","FOXK1_HUMAN.H11MO.0.A",1437,8707,32.4013528748591,26.7044931758933,1.21332963188788,6.90327456294085e-20,"FOXK1",3.95459014248469e-18
"FOXJ2_HUMAN.H11MO.0.C","FOXJ2_HUMAN.H11MO.0.C",1573,9709,35.467869222097,29.7776414660328,1.19109061281952,8.36942440488196e-19,"FOXJ2",4.19517398294708e-17
"FOXP2_HUMAN.H11MO.0.C","FOXP2_HUMAN.H11MO.0.C",869,4964,19.5941375422773,15.2246587946634,1.28700010992335,1.55570454189269e-17,"FOXP2",6.931528014433e-16
"PO2F2_HUMAN.H11MO.0.A","PO2F2_HUMAN.H11MO.0.A",854,4896,19.2559188275085,15.0161018248735,1.28235137534909,8.57769286418827e-17,"PO2F2",3.43965483853949e-15
"FOXO3_HUMAN.H11MO.0.B","FOXO3_HUMAN.H11MO.0.B",1062,6293,23.945885005637,19.3007207483515,1.24067309805942,9.9734830438887e-17,"FOXO3",3.63578790963579e-15
