GENE name,Symbol
PDCD6IP,Cell division
CHMP4BP1,Cell division
SMC4,Cell division
ACTR3,Cell division
ACTR2,Cell division
KIF20A,Cell division
CDK2,Cell division
CDK3,Cell division
CDK4,Cell division
CDK5,Cell division
CDK6,Cell division
CDK7,Cell division
CDK2AP2,Cell division
STAG1,Cell division
MAEA,Cell division
KATNB1,Cell division
CCNO,Cell division
SMYD5,Cell division
TUBA1B,Cell division
SYCP2,Cell division
ANAPC10,Cell division
RACK1,Cell division
NDC80,Cell division
MAD2L2,Cell division
TACC3,Cell division
TADA3,Cell division
CIB1,Cell division
ZNRD2,Cell division
CENPA,Cell division
SMC2,Cell division
CENPC,Cell division
USP16,Cell division
SPAG5,Cell division
STAMBP,Cell division
CENPE,Cell division
TXNIP,Cell division
CENPF,Cell division
RGS14,Cell division
EXOC5,Cell division
CETN1,Cell division
CETN2,Cell division
CETN3,Cell division
USP39,Cell division
CFL1,Cell division
NUDC,Cell division
STAG2,Cell division
GIPC1,Cell division
ARPP19,Cell division
NEK6,Cell division
IQGAP2,Cell division
SEPTIN9,Cell division
ENTR1,Cell division
RAB10,Cell division
JTB,Cell division
TXNL4A,Cell division
MAPRE2,Cell division
KIF2C,Cell division
RAB35,Cell division
RCC1,Cell division
CNTRL,Cell division
UBE2C,Cell division
TPPP,Cell division
TRIOBP,Cell division
WDR5,Cell division
KATNA1,Cell division
CIT,Cell division
ZWINT,Cell division
CHEK2,Cell division
PMF1,Cell division
SNX18,Cell division
DCTN3,Cell division
SGF29,Cell division
CDCA5,Cell division
EXOC3,Cell division
OIP5,Cell division
EFHC1,Cell division
CCDC124,Cell division
HAUS1,Cell division
CKS1B,Cell division
CKS2,Cell division
CNTROB,Cell division
MRGPRX2,Cell division
PARD3B,Cell division
ANAPC16,Cell division
CLTA,Cell division
CLTC,Cell division
NEDD1,Cell division
SEPTIN12,Cell division
NLRP5,Cell division
PLK3,Cell division
MISP,Cell division
PLK5,Cell division
KDF1,Cell division
CCSAP,Cell division
ARL8A,Cell division
IQGAP3,Cell division
CHMP4B,Cell division
MITD1,Cell division
DIS3L2,Cell division
TPRA1,Cell division
MPLKIP,Cell division
E2F7,Cell division
CSNK1A1,Cell division
KIF18B,Cell division
SPC24,Cell division
PHF13,Cell division
EXOC8,Cell division
SEPTIN10,Cell division
PPP1R1C,Cell division
SGO2,Cell division
SGO1,Cell division
ROPN1B,Cell division
SPICE1,Cell division
CDCA2,Cell division
DCT,Cell division
SDE2,Cell division
