"","Patient","CellType","freq"
"1","G1-A","Endocrine",2268
"2","G1-A","Endothelial",1511
"3","G1-A","Epithelial",1
"4","G1-A","Lymphoid",1148
"5","G1-A","Mesenchyme",127
"6","G1-A","Myeloid",220
"7","G1-B","Endocrine",4010
"8","G1-B","Endothelial",423
"9","G1-B","Epithelial",1
"10","G1-B","Lymphoid",66
"11","G1-B","Mesenchyme",109
"12","G1-B","Myeloid",95
"13","G1-C","Endocrine",561
"14","G1-C","Endothelial",802
"15","G1-C","Epithelial",5
"16","G1-C","Lymphoid",54
"17","G1-C","Mesenchyme",377
"18","G1-C","Myeloid",139
"19","G1-D","Endocrine",32
"20","G1-D","Endothelial",1037
"21","G1-D","Epithelial",98
"22","G1-D","Lymphoid",635
"23","G1-D","Mesenchyme",438
"24","G1-D","Myeloid",517
"25","G1-E","Endocrine",1081
"26","G1-E","Endothelial",613
"27","G1-E","Epithelial",122
"28","G1-E","Lymphoid",446
"29","G1-E","Mesenchyme",384
"30","G1-E","Myeloid",104
"31","G2-A","Endocrine",19
"32","G2-A","Endothelial",1023
"33","G2-A","Epithelial",32
"34","G2-A","Lymphoid",117
"35","G2-A","Mesenchyme",335
"36","G2-A","Myeloid",25
"37","G2-B","Endocrine",273
"38","G2-B","Endothelial",677
"39","G2-B","Lymphoid",178
"40","G2-B","Mesenchyme",260
"41","G2-B","Myeloid",46
"42","G3-A","Endocrine",187
"43","G3-A","Endothelial",89
"44","G3-A","Lymphoid",4202
"45","G3-A","Mesenchyme",40
"46","G3-A","Myeloid",122
"47","G3-B","Endocrine",142
"48","G3-B","Endothelial",675
"49","G3-B","Epithelial",1045
"50","G3-B","Lymphoid",1045
"51","G3-B","Mesenchyme",2154
"52","G3-B","Myeloid",997
"53","G3-C","Endocrine",132
"54","G3-C","Endothelial",149
"55","G3-C","Epithelial",662
"56","G3-C","Lymphoid",6
"57","G3-C","Mesenchyme",249
"58","G3-C","Myeloid",133
