"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group1prop","group2prop"
"AL627309.1",1.86459403911757,-0.539619290800526,0.734344582157158,-0.734831173146779,0.462442319463282,0.537412155097548,0.00632911392405063,0.00941876316767877
"AL627309.5",2.56530528662978,-0.160881049807264,0.61376422567654,-0.262121907854646,0.793227457099748,0.831987558264101,0.0147679324894515,0.0289998760689057
"AP006222.2",2.309235896723,-0.770948546795759,0.614277401231123,-1.25504950247337,0.209460790253021,0.286942730937155,0.0232067510548523,0.0272648407485438
"LINC01409",5.6230619337366,1.39544414064216,0.510771584645068,2.7320316607116,0.00629450918448345,0.0327183785910681,0.0232067510548523,0.103234601561532
"FAM87B",1.51918348686661,-1.79953156334635,0.939359257900513,-1.91570109967121,0.0554031523903296,NA,0,0.000371793282934688
"LINC01128",15.3004553187867,1.90665424466628,0.621930665420039,3.0657022569848,0.00217159446583031,0.0189534136129341,0.069620253164557,0.365720659313422
"LINC00115",2.53381208059027,0.40882401348469,0.610154387863288,0.670033718705784,0.502836295625834,0.574641538198581,0.00843881856540084,0.0327178088982526
"FAM41C",2.64427318921552,0.336203621062128,0.594130432203899,0.565875105597599,0.571478685653167,0.637769991664102,0.00843881856540084,0.0256537365224935
"AL645608.2",2.15548163605719,-0.576612354019723,0.75887178005096,-0.7598284310704,0.447357145998637,0.523154596935294,0.00421940928270042,0.012764902714091
"LINC02593",2.32948588655461,-0.374557118327105,0.743091345948587,-0.504052591070036,0.614224420772078,0.676072490285424,0.00843881856540084,0.0143760069401413
"SAMD11",15.2391553141504,2.14228364991444,0.819906304072186,2.61283958822426,0.0089793436565178,0.0403042643577629,0.0611814345991561,0.151691659437353
"NOC2L",20.2188930588715,2.16628006697744,0.613519103971497,3.53090890398431,0.000414134350048434,0.0093168717862825,0.10126582278481,0.400545296814971
"KLHL17",3.40627711942635,0.442622251436904,0.508897999207946,0.869766145918839,0.38442821585825,0.462768550025987,0.0210970464135021,0.0454827116123435
"PLEKHN1",1.61064061945898,-1.27918316452515,0.866099420417104,-1.4769472584442,0.139689775567915,0.211925947802486,0,0.00272648407485438
"AL645608.7",1.80972252161321,-1.03196840744833,0.800186882277353,-1.28965924124039,0.19716899707767,0.273879521180441,0.00210970464135021,0.00421365720659313
"HES4",8.19619154294046,0.629683477095897,0.573170601598374,1.09859695410045,0.271943906877401,0.351764899158597,0.0527426160337553,0.152559177097534
"ISG15",10.8026736587453,1.19679957632513,0.608591135143717,1.96650839490541,0.0492399135645829,0.112442364586503,0.0780590717299578,0.19035816086256
"AGRN",6.09047261733367,1.60825929467668,0.618166699028816,2.60165954782644,0.00927739001717635,0.0410486253864753,0.0168776371308017,0.132358408724749
"C1orf159",2.76112188087331,0.476408933417553,0.589898313992043,0.807611959752066,0.419313999696265,0.49602670986155,0.0105485232067511,0.0382947081422729
"AL390719.2",5.70287323408014,1.21587402975109,0.530731150824202,2.29094152069818,0.0219667961375606,0.0690985043212642,0.0253164556962025,0.0959226669971496
"TTLL10",3.18021178422075,0.308337702775067,0.648283220712141,0.475621908641037,0.634343764218813,0.694434411211926,0.0147679324894515,0.0175982153922419
"TNFRSF18",1.85455896306615,-1.0397904435773,0.742460035591227,-1.40046654868003,0.161373653786922,0.23583489809774,0.00632911392405063,0.0199529061841616
"TNFRSF4",1.92532499479998,-1.01730721982452,0.754972474713198,-1.34747590660305,0.177827008019325,0.253714405544266,0.00421940928270042,0.00508117486677407
"SDF4",40.6442751167173,2.11117683822575,0.653858239663764,3.22879901201732,0.00124311227762583,0.014612048573434,0.185654008438819,0.571694138059239
"B3GALT6",8.78091277548782,1.86713756101277,0.528305753304923,3.53419880312208,0.000409013309523007,0.00926826928420279,0.0379746835443038,0.188499194447887
