"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"chr13-64077085-64078942",8.52820346064377e-140,4.58151541403584,0.684,0.057,1.06249475634776e-134
"chr3-8500614-8504676",8.24902156510342e-137,2.19777005117853,0.928,0.508,1.02771260070997e-131
"chr4-189001176-189002760",8.21135997363722e-132,6.95896220260758,0.716,0.007,1.02302049367557e-126
"chr4-65241215-65242837",2.88510989749813e-124,7.10106380038217,0.692,0.004,3.59444301689703e-119
"chr17-48610111-48613573",2.953371003725e-122,4.84856754210508,0.628,0.042,3.67948679870082e-117
"chr5-35740346-35741799",1.11911455159033e-109,4.21823994604609,0.592,0.055,1.39426005524432e-104
"chr3-12662545-12664895",1.42363530661158e-103,1.92555891804515,0.912,0.529,1.7736502830951e-98
"chr9-130981689-130983241",3.54587711001739e-95,6.25344916654532,0.528,0.009,4.41766645628627e-90
"chr17-48727975-48729705",6.08434084028459e-95,6.26709537847775,0.544,0.01,7.58023687927696e-90
"chr7-47103698-47104515",6.65078994054475e-95,7.15299471423131,0.596,0.007,8.28595315532709e-90
"chr18-77249429-77251091",2.11895159554824e-93,6.78716769287123,0.576,0.009,2.63991703482972e-88
"chr7-47227674-47229090",1.67536577531488e-92,4.07717687340928,0.608,0.063,2.0872712048338e-87
"chr5-105392047-105393235",1.7738429293015e-91,5.8228846395937,0.524,0.009,2.20995995189957e-86
"chr20-22576215-22580609",8.08375253410249e-91,2.64780109258583,0.744,0.233,1.00712239321369e-85
"chr7-103988739-103990367",2.55912416928893e-88,4.42381523165244,0.556,0.042,3.18831043755031e-83
"chr13-64075124-64076296",3.66871890400978e-88,3.89131426626329,0.6,0.062,4.57071013374963e-83
"chr17-48646060-48648083",4.24136037154315e-88,5.79475695757543,0.516,0.01,5.28414123249075e-83
"chr14-23636115-23637990",1.0930774663486e-85,6.95576128130317,0.572,0.007,1.36182149222507e-80
"chr7-97005069-97006748",1.3362730129868e-85,3.67579243398157,0.652,0.097,1.66480909595974e-80
"chr3-8443980-8444902",1.35238316004685e-85,3.04780958815583,0.808,0.195,1.68488008377597e-80
"chr4-13547058-13548236",5.58480331181586e-84,4.68257219456556,0.488,0.032,6.95788305405891e-79
"chr13-109331823-109333373",7.09224026359998e-84,3.93074271556534,0.624,0.069,8.83593845480868e-79
"chr7-85748998-85750529",2.46057998825223e-78,5.01775392101104,0.412,0.033,3.06553818416393e-73
"chr12-46830632-46832664",5.44923565043961e-78,3.87553745246136,0.608,0.051,6.7889847274567e-73
"chr18-34221971-34223848",2.94752932975803e-77,3.72039180625514,0.644,0.081,3.67220889077234e-72
"chr12-4268515-4277379",6.95947077256386e-77,-2.4974570264961,0.224,0.801,8.67052625670641e-72
"chr13-44402895-44406047",9.77357168359612e-73,2.71764182405957,0.712,0.199,1.21765020177251e-67
"chr3-18423030-18426454",9.6137248869501e-72,1.86418477614059,0.86,0.436,1.19773552876557e-66
"chr5-84382071-84385538",1.78957334811778e-71,3.12525659338376,0.872,0.198,2.22955785148602e-66
"chr20-22452361-22453547",2.73001103436009e-71,5.15215735261728,0.416,0.021,3.40121154726786e-66
"chr3-17693245-17694025",6.08691226857703e-71,7.94015698144913,0.616,0.004,7.58344051892937e-66
"chr18-52498905-52500040",8.40319552751351e-70,6.9729821191288,0.528,0.004,1.0469205179908e-64
"chr20-48373958-48375389",1.26475079884191e-69,4.23535212569337,0.508,0.037,1.57570243024518e-64
"chr5-7068149-7069032",1.89596722529679e-69,4.08708257250706,0.42,0.048,2.36210972730826e-64
"chr9-76905298-76906808",3.00521978303734e-69,4.0712611284729,0.564,0.051,3.7440831188949e-64
"chr21-8758805-8759528",5.75986583268003e-69,5.90779943866094,0.408,0.014,7.17598644630274e-64
"chr20-47988568-47990634",6.91462227179081e-69,3.19477662725104,0.74,0.142,8.6146513035333e-64
"chr7-5419989-5430328",7.24634257214986e-68,1.22717614503711,0.972,0.785,9.02792835693862e-63
"chr3-19146507-19149778",1.04600654680027e-67,2.17087164104903,0.844,0.369,1.30317771639658e-62
"chr14-24816043-24819398",1.36829051318499e-66,3.31535179447378,0.72,0.126,1.70469841875665e-61
"chr18-13175769-13177363",3.25319348831447e-66,3.90172947062228,0.452,0.056,4.05302363935147e-61
"chr20-47741838-47742455",4.09481118463973e-66,6.33736834727652,0.452,0.007,5.10156146249526e-61
"chr13-111480719-111481560",5.51375581638722e-66,5.50926280940531,0.392,0.014,6.86936782140419e-61
"chr7-45690638-45692342",5.67332069096684e-66,3.38154508389265,0.576,0.114,7.06816331604795e-61
"chr5-82386881-82388024",1.00020580292473e-65,4.05383766211335,0.444,0.044,1.2461164016318e-60
"chr17-48601557-48603171",1.44696185580339e-65,4.02022991843733,0.548,0.049,1.80271189767121e-60
"chr3-187039290-187042511",1.10648889486123e-64,6.52745555321023,0.428,0.004,1.37853025455181e-59
"chr5-6822066-6823426",1.66768082868298e-64,6.14750154183251,0.4,0.012,2.07769683722298e-59
"chr7-42856755-42857521",5.65845473743112e-64,4.18775757764941,0.416,0.04,7.04964241917593e-59
"chr5-43007244-43011167",3.18228944161632e-63,2.1750011092978,0.828,0.305,3.96468712373211e-58
"chr3-19933459-19934478",8.92024412441984e-63,3.37664483750928,0.54,0.073,1.11133753448497e-57
"chr20-47351838-47353042",1.73882876923219e-62,4.62159064165617,0.376,0.026,2.16633721043561e-57
"chr10-87861407-87864961",4.4350676987673e-61,-2.70561105902395,0.144,0.724,5.52547344318622e-56
"chr19-6020538-6021355",1.65374068323868e-60,5.72116260782928,0.38,0.014,2.06032936761974e-55
"chr16-85898412-85904418",1.87569746318599e-60,4.14393860635291,0.492,0.047,2.33685644148489e-55
"chr3-16841299-16843343",4.13256405918678e-60,2.88281683762566,0.62,0.14,5.14859625877844e-55
"chr20-50422271-50423623",9.67574712002484e-60,3.50060780864613,0.536,0.073,1.20546263069541e-54
"chr13-109476119-109477029",1.34771177771397e-59,5.55169069047045,0.368,0.013,1.67906019538273e-54
"chr7-25862002-25863030",1.48158982922803e-59,3.5316682461629,0.784,0.09,1.84585350464203e-54
"chr17-61409316-61413537",1.78469308839406e-59,2.37035316717023,0.828,0.369,2.22347773110663e-54
"chr6-28884249-28885944",2.22615350184406e-59,4.26887264076308,0.42,0.032,2.77347560180744e-54
"chr3-20054460-20055743",3.29755425228863e-59,4.54126085008037,0.4,0.029,4.10829094075631e-54
"chr12-94535372-94536473",8.01138431240067e-59,3.10003105311764,0.532,0.123,9.9810632594475e-54
"chr13-44818412-44819587",9.62950251666111e-59,3.63473703918848,0.456,0.066,1.19970120054074e-53
"chr10-33333618-33337957",2.25477671564172e-58,1.81065875577695,0.852,0.394,2.8091361189494e-53
"chr9-114908014-114911572",3.25559907882253e-58,6.24832524472743,0.36,0.011,4.05602066834184e-53
"chr4-178415154-178416345",6.74381943237126e-58,8.36688855361136,0.572,0.003,8.40185487801406e-53
"chr3-17740546-17743415",1.4352270714449e-57,1.2825650572158,0.856,0.591,1.78809199923034e-52
"chr3-27632423-27633602",1.57675265186128e-57,3.74249741178589,0.476,0.042,1.96441305884789e-52
"chr7-150976060-150980339",3.35329623006535e-57,1.87795188188558,0.888,0.424,4.17773764118922e-52
"chr4-94757634-94759313",1.33582437498161e-56,3.43907099722681,0.608,0.083,1.66425015581459e-51
"chr6-95518788-95519828",2.82551414443816e-56,7.31738036803661,0.468,0.002,3.52019505198972e-51
"chr7-1099376-1105518",3.1023034126551e-56,1.29884397236585,0.872,0.566,3.86503572969049e-51
"chr3-20038842-20042115",7.2307585311993e-56,1.53294147849193,0.84,0.477,9.00851282367996e-51
"chr3-18351197-18352307",1.443555278048e-55,3.51258369998615,0.556,0.054,1.79846777870888e-50
"chr3-8651673-8652433",1.65134643928171e-55,6.23307796306546,0.356,0.004,2.05734647484351e-50
"chr1-228457098-228459642",1.69191475358264e-55,3.5509116626361,0.56,0.065,2.10788891489847e-50
"chr5-35744637-35745820",6.30506131911222e-54,6.94790079904429,0.42,0.004,7.85522369502916e-49
"chr10-3934954-3936823",9.79602742855384e-54,5.83552747421012,0.344,0.007,1.22044787321381e-48
"chr2-224031272-224031870",1.17920597105979e-53,5.91506878537972,0.36,0.005,1.46912555110455e-48
"chr5-77851308-77853311",2.09735131656656e-53,3.99951515124077,0.452,0.043,2.61300611125762e-48
"chr13-101915283-101918802",3.75950538400954e-53,1.15961575249326,0.84,0.544,4.68381737772212e-48
"chr1-188012848-188013720",6.71280811639737e-53,6.5670653651997,0.388,0.004,8.36321911989483e-48
"chr6-26249459-26252241",8.72303158894346e-53,3.78990921472347,0.48,0.058,1.08676761354011e-47
"chr20-22403220-22404246",3.23158564011679e-52,3.91952494584031,0.368,0.037,4.02610328559591e-47
"chr5-72014073-72015596",4.10446090392763e-52,3.0696834164147,0.628,0.137,5.11358366176728e-47
"chr7-18495127-18496847",5.35849419142693e-52,4.55975040742226,0.344,0.024,6.67593357333115e-47
"chr7-22361426-22362185",1.17036493438067e-51,6.48013728772838,0.336,0.01,1.45811085714751e-46
